region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,newborn,population,poverty_percent,the_poor: children,the_poor: retired,the_poor: employable,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,children,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance
Еврейская автономная область,24975.5,96.7,37558.2,91.5,46.1,5092.7,102.95,69.2,293728.4,13.8,0.9,0.0,68677.5,675.8,588.9,13.8,2186.1,175942.2,22.2,34.8,10.8,54.4,47345470.4,144836.0,24.8,1420.8,0.5,0.266,0.00159,35306.0,15.35,23.7,18.2,10.4,25.35,8480.0,42.75
Забайкальский край,23932.7,98.6,38373.5,90.1,214.3,32195.2,75.399994,9.5,264928.3,17.1,1.8,1.5903,67720.0,219.6,512.4,23.3,15797.2,1111500.1,34.4,33.4,7.2,59.3,376505366.2,148511.0,23.0,2188.5,-4.9,0.24,0.01606,257068.0,15.45,14.75,21.5,7.65,36.099999999999994,5040.5,31.35
Ивановская область,24567.8,97.6,24856.7,87.9,116.2,25761.2,78.95,6.7,188614.2,18.1,1.5,0.5360000000000001,88113.7,272.6,592.7,3.0,10306.9,1076221.2,30.8,47.5,5.0,47.5,387112386.8,159397.0,25.5,952.8,-2.7,0.217,0.00664,174587.0,17.75,18.7,25.65,3.2,11.9,4784.0,36.8
Иркутская область,24346.8,99.2,40869.8,91.3,430.9,91702.5,83.5,17.45,457792.2,16.3,1.6,1.9608,97599.6,226.1,558.4,5.0,34139.2,2472794.3,23.3,41.5,7.0,51.5,2398210975.0,142186.0,23.0,1497.3,-2.8,0.209,0.02462,572225.0,15.9,20.0,18.5,4.4,18.5,9373.0,32.05
Кабардино-Балкарская Республика,20569.7,98.8,24720.2,88.3,130.3,30001.3,52.85,10.3,158583.5,18.9,0.5,0.0,45707.2,95.8,253.5,4.1,11785.9,869256.5,29.3,35.9,6.7,57.4,87531036.5,145186.0,22.9,595.7,0.6,0.239,0.00353,218983.0,19.55,26.049999999999997,65.6,19.35,22.6,10817.5,39.7
Калининградская область,27261.2,99.2,32327.0,90.8,99.8,23984.2,80.899994,5.25,392286.2,15.6,1.9,0.0,76454.2,390.8,482.0,0.0,10735.7,964679.6,20.0,29.1,6.1,64.8,1240083921.6,163340.0,9.9,947.8,-2.4,0.178,0.00641,201004.0,18.5,26.25,17.65,4.55,20.9,2677.0,41.75
Калужская область,29652.3,98.2,36595.2,90.3,107.7,27146.7,55.949997,6.4,392559.8,15.5,0.2,0.0,73392.3,111.6,486.6,4.6,10689.6,1022921.6,19.4,31.1,18.4,50.4,1710019101.1,187558.0,17.4,1091.8,0.7,0.252,0.00757,194197.0,17.8,23.85,11.5,3.3,13.0,43134.5,31.7
Камчатский край,48132.0,100.4,70722.8,96.2,48.4,5881.8,62.8,7.1499996,628539.0,15.9,3.0,4.466,79468.6,295.9,600.6,8.3,3834.9,332286.5,20.1,42.6,5.9,51.5,342279033.3,176962.0,13.9,1490.5,-2.6,0.185,0.00321,62945.0,17.95,33.8,16.9,0.3,4.449999999999999,21956.5,51.05
Карачаево-Черкесская Республика,18200.2,96.5,24490.8,89.0,71.4,29489.7,26.6,5.7,158584.9,18.3,2.6,1.9828999999999999,66186.2,114.7,217.0,0.0,5728.0,460228.5,31.6,27.6,6.9,65.5,86516981.2,81168.0,20.8,780.9,5.1,0.205,0.00251,112228.0,17.799999999999997,19.049999999999997,29.4,11.65,2.9,7322.5,43.75
Кемеровская область,23141.7,98.0,35708.0,92.0,378.6,87793.3,42.0,13.450001,338333.7,16.3,1.0,0.5085000000000001,86666.6,406.4,561.7,4.2,32072.6,2780152.0,16.3,39.7,4.5,55.8,3334814710.3,139066.0,21.6,1790.1,-5.0,0.174,0.03297,573039.0,16.8,17.2,12.1,2.5,20.450000000000003,39879.5,25.6
